Unidad,N° Actividad,Fecha de entrega (texto),Fecha de entrega (ISO),Descripción,Valor (%)
1,Complementaria 1,,,"Unidad 1, actividad complementaria 1.",5.0
1,Elabora el trabajo en un procesador de textos (Word) en no más de una cuartilla.,,,Adjuntar archivo. Responde las siguientes preguntas: ¿Qué se entiende como el ser del logos? ¿Por qué se dice que el ser humano es un ser político? ¿Qué caracteriza al ser humano como un ser de la praxis?,5.0
1,Los elementos de evaluación para la actividad están descritos en el apartado “Sistema de Evaluación” de este Plan de Trabajo. Por lo cual te pido atenderlos pues son base indispensable para ponderar la actividad.,,,,12.0
2,Complementaria,12-mar-25,2025-03-12,"Una vez estudiados los contenidos de la Unidad 2, realiza los ejercicios de reflexión académica que encontrarás en la cédula correspondiente.",5.0
3,Actividad 2,,,"Elabora un cuadro sinóptico, además de una descripción sintética de cada una de las doctrinas éticas expuestas en esta unidad, estableciendo tanto las características que las definen como los aspectos específicos que las distinguen entre sí.",5.0
4,Complementaria,"09-abr-25 Unidad 4, actividad complementaria 1.",2025-04-09,Adjuntar archivo. Revisa la siguiente dirección web: 5%. Liga: https://www.youtube.com/watch?v=U2V0qjmWZMQ. Título: Los VALORES | ¿Qué son los valores? | ¿Para qué sirven? | Explicación y ejemplos.,
5,Los elementos de evaluación para la actividad están descritos en el apartado “Sistema de Evaluación” de este Plan de Trabajo. Por lo cual te pido atenderlos pues son base indispensable para ponderar la actividad.,,,"Realiza tu actividad, guárdala en tu computadora y una vez que concluyas, presiona el botón Examinar.",
5,"Localiza el archivo, ya seleccionado, presiona Subir este archivo para guardarlo en la plataforma.",,,,5.0
5,Complementaria,"30-abr-25 Unidad 5, actividad complementaria 1.",2025-04-30,Adjuntar archivo,14.0
5,Revisa la siguiente dirección web:,Liga: https://www.youtube.com/watch?v=WFn0k4famig,Liga: https://www.youtube.com/watch?v=WFn0k4famig,"Título: Tipos de normas con ejemplos: religiosas, jurídicas, sociales, morales",
5,,"Una vez que veas el video, elabora un cuadro comparativo en que desarrolles las semejanzas y/o diferencias de las normas religiosas, morales, sociales y jurídicas.","Una vez que veas el video, elabora un cuadro comparativo en que desarrolles las semejanzas y/o diferencias de las normas religiosas, morales, sociales y jurídicas.",No debes consultar ninguna bibliografía ni recurrir a recursos externos para realizar la actividad.,
6,Complementaria,,,"Adjuntar archivo. Revisa la siguiente dirección web: Liga: www.youtube.com/watch?v=HwiedDmuVpw Título: 2 DILEMAS ÉTICOS (Justicia vs. Moralidad) | ¿Cuáles son las ETAPAS del DESARROLLO MORAL de Kohlberg? A partir de lo expuesto en el video, desarrolla una breve reflexión de los conflictos/problemas/dilemas a los que el ser humano se enfrenta en la toma de decisiones morales. Tu reflexión debe estar ligada al contenido del video. La actividad en una cuartilla, un máximo de extensión. Los elementos de evaluación para la actividad están descritos en el apartado “Sistema de Evaluación” de este Plan de Trabajo. Por lo cual te pido atenderlos pues son base indispensable para ponderar la actividad. Realiza tu actividad, guárdala en tu computadora y una vez que concluyas, presiona el botón Examinar. Localiza el archivo, ya seleccionado, presiona Subir este archivo para guardarlo en la plataforma.",5.0
6,Cuestionario de Reforzamiento,07-may-25,2025-05-07,Responde las siguientes preguntas.,5.0
7,Complementaria,,,"Unidad 7, actividad complementaria 1.",
7,,,,Los elementos de evaluación para la actividad están descritos en el apartado “Sistema de Evaluación” de este Plan de Trabajo.,18.0
7,Cuestionario de Reforzamiento,14-may-25,2025-05-14,Responde las siguientes preguntas.,5.0
8,Actividad 3,21-may-25,2025-05-21,Un cuadro sinóptico del concepto de vocación.,5.0
8,Complementaria,21- may-25,2025-05-21,"Después de haber hecho el estudio de la Unidad 8, ten muy presentes sus contenidos para realizar esta actividad que consiste en los pasos siguientes: Leer con atención el texto que se titula: ""Qué es eso de ética profesional?"" de la autoría de Juan Manuel Silva y que podrás encontrar en el FORO GENERAL de la asignatura. A partir de la lectura anterior, redactar una reflexión guiándote de las siguientes preguntas: a) ¿Qué se entiende por ética del trabajo y ética profesional? b) ¿Cuáles son los cuatro principios o valores morales que a tu juicio deben inspirar la práctica de una profesión o el trabajo profesional en una organización en México? Explica cada uno y argumenta tus razones para considerarlos así. Realiza tu actividad en un procesador de textos, guárdala en tu computadora y una vez que concluyas, presiona el botón Añadir envío. Oprime Agregar y selecciona el archivo; presiona Subir este archivo y finaliza con Guardar cambios. Deberás subir esta actividad en el espacio destinado en la plataforma identificada como Unidad 8. Actividad Complementaria 1",5.0
